dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
CHRLESHALL_8,,1_2487,,138.0,138.0,,0.2940217391304348,1.0,0.5666666666666667,0.436838768115942,ambiguous,True,0.004515050167224033,2,2,0.3333333333333333,0.0
SKYBOX2_8,,1_2500,,138.0,138.0,,0.2925,1.0,0.5666666666666667,0.43645833333333334,ambiguous,True,0.005869565217391293,2,2,0.3333333333333333,0.0
CALCITE_T8,,1_10582,,138.0,138.0,,0.10434782608695652,1.0,0.8,0.4360869565217392,ambiguous,True,0.013913043478260945,4,4,1.0,0.0
LEANCLAY_8,,1_7943,,138.0,138.0,26.700267169542595,0.15652173913043477,1.0,0.34,0.43607683280872084,ambiguous,True,0.005232234831904159,5,2,0.4,0.1
ELTRUENO_C2,,1_9889,,34.5,34.5,18.694879671797487,0.09230769230769231,1.0,0.225,0.4358828391236667,ambiguous,True,0.03732568459761332,2,1,0.0,0.0
FERRIS_8,,1_1491,,138.0,138.0,,0.22857142857142854,1.0,0.6431818181818182,0.4357792207792208,ambiguous,True,0.0038284632034632504,3,3,0.5,0.09090909090909091
ALAZAN4A_IL,,1_10539,,138.0,138.0,,0.09999999999999999,1.0,0.8,0.43500000000000005,ambiguous,True,0.0,1,1,1.0,0.0
CAVENDER_P8,,1_1345,,138.0,138.0,,0.09999999999999999,1.0,0.8,0.43500000000000005,ambiguous,True,0.028333333333333377,3,3,1.0,0.0
KING__94TPC8,,1_6708,,138.0,138.0,,0.09999999999999999,1.0,0.8,0.43500000000000005,ambiguous,True,0.022435897435897467,3,3,1.0,0.0
SLSTR1PP_8,,1_10776,,138.0,138.0,,0.25869565217391305,1.0,0.6,0.43467391304347824,ambiguous,True,0.033691770186335346,4,3,0.75,0.0
LEWISVLSW5_1,,1_10782,,345.0,345.0,,0.40049999999999997,1.0,0.4222222222222222,0.43456944444444445,ambiguous,True,0.004091503267973806,6,3,0.5,0.1111111111111111
KIMBALL1_8,,1_10664,,138.0,138.0,,0.2839285714285714,1.0,0.5666666666666667,0.4343154761904762,ambiguous,True,0.005357142857142894,2,2,0.3333333333333333,0.0
TNKEYSTONE0,,1_5803,,69.0,69.0,18.870840273272332,0.10909090909090909,1.0,0.2,0.43404672938842126,ambiguous,True,0.07112886328647106,1,4,0.25,0.0
VERDE_CIRCLE,,1_2658,,138.0,138.0,,0.096,1.0,0.8,0.43400000000000005,ambiguous,True,0.0,2,2,1.0,0.0
LIMEST__B138,,1_10680,,138.0,138.0,,0.375,1.0,0.45,0.43375,ambiguous,True,0.012500000000000011,2,2,0.0,0.0
GUNTERSW1_3,,1_5500,,13.8,13.8,,0.3733695652173913,1.0,0.45,0.4333423913043479,ambiguous,True,0.01067193675889333,1,1,0.0,0.0
PRNGMOSS1_3,,1_5505,,13.8,13.8,,0.3733695652173913,1.0,0.45,0.4333423913043479,ambiguous,True,0.024308300395256943,1,1,0.0,0.0
FRONTERA4B,,1_4398,,138.0,138.0,,0.09230769230769231,1.0,0.8,0.43307692307692314,ambiguous,True,0.01003344481605356,1,1,1.0,0.0
TNWNKLRCO60,,1_5718,,69.0,34.5,7.9645028650856045,0.09230769230769231,0.65,0.225,0.4320301704296678,ambiguous,True,0.008486803415300614,2,1,0.0,0.0
BUZZDRAW_8,,1_789,,138.0,138.0,21.236878881416608,0.31304347826086953,1.0,0.0,0.43200613571370344,ambiguous,True,0.00019709532015843578,0,1,0.0,0.0
HOBSONLAKE_9,,1_2502,,69.0,69.0,,0.2846153846153846,1.0,0.5533333333333333,0.4318205128205128,ambiguous,True,0.003516941391941364,2,3,0.6666666666666666,0.1
LAKVWNODE_8,,1_10685,,138.0,138.0,,0.4102272727272727,1.0,0.38750000000000007,0.4300568181818182,ambiguous,True,0.0175568181818182,3,2,0.25,0.0
SEYMOUR_9,,1_10623,,69.0,69.0,,0.29166666666666663,1.0,0.5333333333333333,0.4295833333333333,ambiguous,True,0.005149868247694311,2,3,0.6666666666666666,0.0
REDSALT_8,,1_10572,,138.0,138.0,,0.21818181818181817,1.0,0.625,0.42954545454545456,ambiguous,True,0.022670454545454577,3,3,0.5,0.0
BRKSTON1_9,,1_1098,,69.0,18.0,9.96716888028894,0.1590909090909091,0.65,0.225,0.42953086669446,ambiguous,True,0.012478207502726713,2,1,0.0,0.0
KILBY7A,,1_7091,,345.0,345.0,,0.06,1.0,0.8200000000000001,0.42900000000000005,ambiguous,True,0.039238095238095294,3,3,1.0,0.1
BYP_SD,,1_8279,,34.5,34.5,,0.3625,1.0,0.44000000000000006,0.42862500000000003,ambiguous,True,0.00883333333333336,2,1,0.5,0.2
TEMPLE1_8,,1_10673,,138.0,138.0,,0.2136363636363636,1.0,0.625,0.4284090909090909,ambiguous,True,0.012784090909090884,3,3,0.5,0.0
