market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
MERIDIAN345 KV  MER-TWI1,MERIDIAN_345 KV_MER-TWI1:L765.Maliszewski-Marysville,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1),medium,low,0.6944,0.3722,False,True
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,medium,0.71,0.4643,True,True
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,BUTL APS-KARNSCIT KC-BT     A  138 KV,medium,medium,0.6146,0.5077,True,True
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:ACTUAL,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL),high,medium,0.8417,0.6008,True,False
KRENDALE 138 KV KRENDALE-SHANORMA KND-BT,KRENDALE_138 KV_KRE-SHA:ACTUAL,SHANORMA 138KV - KRENDALE 138KV (KRENDALE 138 KV KRE-SHA),high,low,0.8,0.4394,False,True
EWATERVT138 KV  EAS-WES,EWATERVT_138 KV_EAS-WES:ACTUAL,WESTSTRE 138KV - EWATERVT 138KV (EWATERVT 138 KV EAS-WES),medium,medium,0.46,0.4929,True,False
LACKAWAN-OXBOW ETP 2004 A 230 KV,LACKAWAN_230 KV_LAC-OXB:ACTUAL,LACKAWAN 230KV - OXBOW 230KV (LACKAWAN 230 KV LAC-OXB),medium,medium,0.5906,0.49,True,False
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:500/230.WaughChapel.500-4,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5),high,medium,0.835,0.5786,False,True
REMNTNCT230 KV  299A,REMNTNCT_230 KV_299A:L230.Remington-MarshRun.280,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A),medium,low,0.5952,0.2929,False,True
JORDAN - WFRANKFORT E 138KV L/O JORDAN - MASSAC 345KV,E W FKF3_138 KV_EWF-JORD:Jordan- Massac 345kV,JORD 138KV - E W FKF3 138KV (E W FKF3 138 KV EWF-JORD),medium,low,0.5538,0.4167,False,False
COLLEGEC 138 KV COLLEGEC-COLLINSV,COLLEGEC_138 KV_COL-COL6:ACTUAL,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6),high,medium,0.8727,0.4833,False,True
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,HARWOOD_230 KV_HAR-SUS2:ACTUAL,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2),high,medium,0.9244,0.525,True,True
MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259,MAYWOOD_230 KV_MAY-SAD:ACTUAL,SADDLEBR 230KV - MAYWOOD 230KV (MAYWOOD 230 KV MAY-SAD),medium,medium,0.6333,0.5278,True,False
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE),high,medium,0.9278,0.575,False,True
KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV,CAYUGA2_230 KV_CAY-HILS:L345.Cayuga-Nucor (CIN),KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP),medium,low,0.6476,0.3056,False,True
