date,pd
2024-11-05,1125257.155
2024-11-06,1117970.332
2024-11-07,1199059.461
2024-11-08,1209652.246
2024-11-09,1093811.345
2024-11-10,1104180.2550000001
2024-11-11,1151838.941
2024-11-12,1125226.534
2024-11-13,1131630.096
2024-11-14,1070202.717
2024-11-15,1065773.747
2024-11-16,1065899.116
2024-11-17,1130745.758
2024-11-18,1166288.846
2024-11-19,1077876.363
2024-11-20,1042540.409
2024-11-21,1080767.796
2024-11-22,1079325.132
2024-11-23,1072453.652
2024-11-24,1084747.008
2024-11-25,1133450.775
2024-11-26,1103179.561
2024-11-27,1118535.041
2024-11-28,1060471.254
2024-11-29,1091974.681
2024-11-30,1101919.27
2024-12-01,1087658.054
2024-12-02,1134406.329
2024-12-03,1133334.063
2024-12-04,1122934.621
2024-12-05,1126146.737
2024-12-06,1211778.113
2024-12-07,1196427.952
2024-12-08,1135915.979
2024-12-09,1125526.307
2024-12-10,1173485.766
2024-12-11,1238537.915
2024-12-12,1220992.239
2024-12-13,1145433.23
2024-12-14,1089393.214
2024-12-15,1121298.974
2024-12-16,1154965.085
2024-12-17,1139879.482
2024-12-18,1117531.825
2024-12-19,1150834.298
2024-12-20,1145969.407
2024-12-21,1160747.384
2024-12-22,1132104.649
2024-12-23,1108616.226
2024-12-24,1074208.846
2024-12-25,1026412.0599999999
2024-12-26,1086632.005
2024-12-27,1105334.105
2024-12-28,1087053.212
2024-12-29,1050503.496
2024-12-30,1109438.777
2024-12-31,1086608.665
2025-01-01,1095647.398
2025-01-02,1157370.811
2025-01-03,1116584.225
2025-01-04,1075248.72
2025-01-05,1138855.038
2025-01-06,1461539.055
2025-01-07,1469771.135
2025-01-08,1488113.141
2025-01-09,1514403.224
2025-01-10,1526886.4510000001
2025-01-11,1396279.746
2025-01-12,1260658.415
2025-01-13,1294319.058
2025-01-14,1326753.291
2025-01-15,1250349.842
2025-01-16,1236738.343
2025-01-17,1220913.585
2025-01-18,1187908.0
2025-01-19,1487201.368
2025-01-20,1685457.226
2025-01-21,1654502.756
2025-01-22,1551714.878
2025-01-23,1406745.994
2025-01-24,1386065.167
2025-01-25,1275976.087
2025-01-26,1166413.886
2025-01-27,1259973.38
2025-01-28,1203186.104
2025-01-29,1145629.833
2025-01-30,1107494.294
2025-01-31,1124371.217
2025-02-01,1111992.511
2025-02-02,1079074.699
2025-02-03,1120611.892
2025-02-04,1124746.548
2025-02-05,1144101.517
2025-02-06,1148386.865
2025-02-07,1157894.386
2025-02-08,1159871.867
2025-02-09,1132574.46
2025-02-10,1194850.802
2025-02-11,1223987.763
2025-02-12,1257130.163
2025-02-13,1393799.791
2025-02-14,1308578.702
2025-02-15,1149840.659
2025-02-16,1243933.567
2025-02-17,1288807.698
2025-02-18,1277016.299
2025-02-19,1730220.415
2025-02-20,1710189.577
2025-02-21,1628207.26
2025-02-22,1450417.065
2025-02-23,1221405.756
2025-02-24,1166245.985
2025-02-25,1099589.865
2025-02-26,1099409.5219999999
2025-02-27,1075111.516
2025-02-28,1103290.716
2025-03-01,1069786.962
2025-03-02,1062272.479
2025-03-03,1140467.398
2025-03-04,1097674.22
2025-03-05,1093013.639
2025-03-06,1128332.053
2025-03-07,1125276.346
2025-03-08,1132064.579
2025-03-09,1058775.383
2025-03-10,1134560.075
2025-03-11,1116744.112
2025-03-12,1141484.278
